IndicatorType,CountryName,MarketName,CurrencyCode,Date,Value,SourceOfTheData
Official,Syrian Arab Republic,,SYP,27/08/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,28/08/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,31/08/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,01/09/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,02/09/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,03/09/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,04/09/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,08/09/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,09/09/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,10/09/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,11/09/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,14/09/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,15/09/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,16/09/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,17/09/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,18/09/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,21/09/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,22/09/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,23/09/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,24/09/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,25/09/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,28/09/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,29/09/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,30/09/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,01/10/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,02/10/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,05/10/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,06/10/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,07/10/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,08/10/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,09/10/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,12/10/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,13/10/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,14/10/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,15/10/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,16/10/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,19/10/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,20/10/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,21/10/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,22/10/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,23/10/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,26/10/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,27/10/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,28/10/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,29/10/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,30/10/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,02/11/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,03/11/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,04/11/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,05/11/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,06/11/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,09/11/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,10/11/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,11/11/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,12/11/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,13/11/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,16/11/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,17/11/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,18/11/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,19/11/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,20/11/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,23/11/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,24/11/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,25/11/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,26/11/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,27/11/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,30/11/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,01/12/2009,45.3,Trading Economics
Official,Syrian Arab Republic,,SYP,02/12/2009,45.25,Trading Economics
Official,Syrian Arab Republic,,SYP,03/12/2009,45.2,Trading Economics
Official,Syrian Arab Republic,,SYP,04/12/2009,45.2,Trading Economics
Official,Syrian Arab Republic,,SYP,07/12/2009,45.25,Trading Economics
Official,Syrian Arab Republic,,SYP,08/12/2009,45.3,Trading Economics
Official,Syrian Arab Republic,,SYP,09/12/2009,45.3,Trading Economics
Official,Syrian Arab Republic,,SYP,10/12/2009,45.3,Trading Economics
Official,Syrian Arab Republic,,SYP,11/12/2009,45.3,Trading Economics
Official,Syrian Arab Republic,,SYP,14/12/2009,45.35,Trading Economics
Official,Syrian Arab Republic,,SYP,15/12/2009,45.35,Trading Economics
Official,Syrian Arab Republic,,SYP,16/12/2009,45.4,Trading Economics
Official,Syrian Arab Republic,,SYP,17/12/2009,45.4,Trading Economics
Official,Syrian Arab Republic,,SYP,18/12/2009,45.4,Trading Economics
Official,Syrian Arab Republic,,SYP,21/12/2009,45.5,Trading Economics
Official,Syrian Arab Republic,,SYP,22/12/2009,45.5,Trading Economics
Official,Syrian Arab Republic,,SYP,23/12/2009,45.55,Trading Economics
Official,Syrian Arab Republic,,SYP,24/12/2009,45.55,Trading Economics
Official,Syrian Arab Republic,,SYP,25/12/2009,45.55,Trading Economics
Official,Syrian Arab Republic,,SYP,28/12/2009,45.5,Trading Economics
Official,Syrian Arab Republic,,SYP,29/12/2009,45.5,Trading Economics
Official,Syrian Arab Republic,,SYP,30/12/2009,45.55,Trading Economics
Official,Syrian Arab Republic,,SYP,31/12/2009,45.5,Trading Economics
Official,Syrian Arab Republic,,SYP,01/01/2010,45.55,Trading Economics
Official,Syrian Arab Republic,,SYP,04/01/2010,45.55,Trading Economics
Official,Syrian Arab Republic,,SYP,05/01/2010,45.45,Trading Economics
Official,Syrian Arab Republic,,SYP,06/01/2010,45.45,Trading Economics
Official,Syrian Arab Republic,,SYP,07/01/2010,45.45,Trading Economics
Official,Syrian Arab Republic,,SYP,08/01/2010,45.55,Trading Economics
